Person Name,Event Date,URL
Mona Wang,2020-01-20,https://www.cbc.ca/news/canada/british-columbia/rcmp-mona-wang-lacy-browning-police-violence-kelowna-1.6952794
Tyreek Hill,2024-09-08,https://www.cbc.ca/sports/football/nfl/tyreek-hill-reaction-police-stop-dolphins-nfl-1.7317809
Erixon Kabera,2024-11-09,https://www.cbc.ca/news/canada/hamilton/erixon-kabera-death-1.7380853
Clayton Wiley,2003-07-21,https://www.cbc.ca/news/canada/british-columbia/rcmp-s-taser-use-in-2003-death-slammed-in-report-1.1178293
Adrian Lacquette,2017-09-13,https://globalnews.ca/news/3739893/police-tape-off-part-of-winnipegs-north-end-wednesday-morning/
